Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação,
Prefeito,BA,GLORIA,PFL,25,TERTULIANO PEDRO LISBOA,"3,696",Eleito,56.393,(sem coligação),
Prefeito,BA,GOVERNADOR MANGABEIRA,PPB,11,ANATELIS FERREIRA DE ALMEIDA,"4,685",Eleito,60.242,(sem coligação),
Prefeito,BA,GOVERNADOR MANGABEIRA,PDT,12,ANTONIO PIMENTEL PEREIRA,"1,700",Não eleito,21.859,(sem coligação),
Prefeito,BA,GOVERNADOR MANGABEIRA,PTB,14,REGINALDO MENDES,"1,392",Não eleito,17.899,(sem coligação),
Prefeito,BA,IACU,PC do B,65,DEUSDEDITH SANTOS DE ANDRADE,71,Não eleito,0.661,(sem coligação),
Prefeito,BA,IACU,PTB,14,JOSE EDUARDO SANTOS NASCIMENTO,114,Não eleito,1.061,(sem coligação),
Prefeito,BA,IACU,PFL,25,MAURILO JOSE RAMOS SOBRINHO,"5,300",Eleito,49.348,(sem coligação),
Prefeito,BA,IACU,PMDB,15,PACIFICO TEIXEIRA RAMOS,"5,255",Não eleito,48.929,(sem coligação),
Prefeito,BA,CURACA,PT,13,JOAO ANTONIO DOS SANTOS,212,Não eleito,1.893,(sem coligação),
Prefeito,BA,CURACA,PTB,14,OSMAR PEREIRA DE ALMEIDA,220,Não eleito,1.965,(sem coligação),
Prefeito,BA,CURACA,PSDB,45,SALVADOR LOPES GONSALVES,"5,740",Eleito,51.264,(sem coligação),
Prefeito,BA,CURACA,PL,22,THEODOMIRO MENDES FILHO,"5,025",Não eleito,44.878,(sem coligação),
Prefeito,BA,ELISIO MEDRADO,PMDB,15,DOMINGOS ALMEIDA PEIXOTO,"2,700",Eleito,53.402,(sem coligação),
Prefeito,BA,ELISIO MEDRADO,PFL,25,HILDEBRANDO GUIDO LEAL,"2,356",Não eleito,46.598,(sem coligação),
Prefeito,BA,CRISTOPOLIS,PL,22,ADERALDO GALDINO CORREIA,"3,102",Não eleito,42.54,(sem coligação),
Prefeito,BA,CRISTOPOLIS,PAN,26,ARLINDO ANTONIO DAMACENO,71,Não eleito,0.974,(sem coligação),
Prefeito,BA,CRISTOPOLIS,PFL,25,JAIR PAIVA DE MIRANDA,"4,119",Eleito,56.487,(sem coligação),
Prefeito,BA,EUNAPOLIS,PL,22,GEDIEL SEPULVIDA PEREIRA,"10,582",Não eleito,36.232,(sem coligação),
Prefeito,BA,EUNAPOLIS,PSB,40,GERALDO SILVA LIMA,149,Não eleito,0.51,(sem coligação),
Prefeito,BA,EUNAPOLIS,PSL,17,JOSE ARMINDO EVANGELISTA DE SOUZA,377,Não eleito,1.291,(sem coligação),
Prefeito,BA,EUNAPOLIS,PSC,20,JOSE RAMOS NETO,"7,005",Não eleito,23.985,(sem coligação),
Prefeito,BA,EUNAPOLIS,PMDB,15,PAULO ERNESTO RIBEIRO DA SILVA,"11,093",Eleito,37.982,(sem coligação),
Prefeito,BA,FATIMA,PFL,25,EDUARDO PIRES DE ANDRADE,"4,122",Eleito,55.778,(sem coligação),
Prefeito,BA,FATIMA,PPB,11,JOAO BARROS DE SANTANA,"3,268",Não eleito,44.222,(sem coligação),
Prefeito,BA,FILADELFIA,PFL,25,ANTONIO BARBOSA DOS SANTOS,"2,810",Não eleito,40.873,(sem coligação),
Prefeito,BA,FILADELFIA,PL,22,LOURIVALDO PEREIRA MAIA,"3,870",Eleito,56.291,(sem coligação),
Prefeito,BA,FILADELFIA,PMDB,15,LUCIO BATISTA BARRETO,195,Não eleito,2.836,(sem coligação),
Prefeito,BA,GANDU,PMDB,15,ANTONIO CARLOS FARIAS NUNES,"7,277",Eleito,55.55,(sem coligação),
Prefeito,BA,GANDU,PAN,26,MARIO LIMA DE VASCONCELOS,114,Não eleito,0.87,(sem coligação),
Prefeito,BA,GANDU,PPB,11,RENILDA MARIA VITORIA DE SOUZA,"5,709",Não eleito,43.58,(sem coligação),
Prefeito,BA,GONGOGI,PMDB,15,IVES QUEIROZ GOMES BARBOSA,404,Não eleito,10.679,(sem coligação),
Prefeito,BA,GONGOGI,PL,22,JOANA ANGELICA OLIVEIRA VASCONCELOS SANTOS,"1,205",Não eleito,31.853,(sem coligação),
Prefeito,BA,GUAJERU,PL,22,DOTINO SOUZA COSTA,"1,750",Eleito,51.699,(sem coligação),
Prefeito,BA,GUAJERU,PMDB,15,NEUTON SOUZA VIANA,"1,635",Não eleito,48.301,(sem coligação),
Prefeito,BA,DARIO MEIRA,PDT,12,PAULO JOHNSON AMARAL VIANA,822,Não eleito,19.134,(sem coligação),
Prefeito,BA,DARIO MEIRA,PSDB,45,WAGNER CHAVES PHILADELPHO,572,Não eleito,13.315,(sem coligação),
Prefeito,BA,IBIASSUCE,PSDB,45,ANTONIO ANDRE CARDOSO NASCIMENTO,"1,714",Não eleito,37.31,(sem coligação),
Prefeito,BA,IBIASSUCE,PFL,25,EDNO MESSIAS BRITO DE ANDRADE,"2,880",Eleito,62.69,(sem coligação),
Prefeito,BA,IBICOARA,PFL,25,ARNALDO SILVA PIRES,"2,375",Eleito,51.042,(sem coligação),
Prefeito,BA,IBICOARA,PMDB,15,JONILSON AGUIAR,"2,278",Não eleito,48.958,(sem coligação),
Prefeito,BA,ESPLANADA,PFL,25,FERNANDO GRISI,"4,140",Eleito,37.531,(sem coligação),
Prefeito,BA,ESPLANADA,PPB,11,JOSE ALDEMIR DA CRUZ,"3,115",Não eleito,28.239,(sem coligação),
Prefeito,BA,ESPLANADA,PTB,14,LITERCILIO MOTA XAVIER,"3,776",Não eleito,34.231,(sem coligação),
Prefeito,BA,DOM BASILIO,PL,22,JOSE MARIA ALVES CAIRES,"2,613",Não eleito,45.42,(sem coligação),
Prefeito,BA,DOM BASILIO,PSC,20,LUCIANO PEREIRA SILVA,"3,140",Eleito,54.58,(sem coligação),
Prefeito,BA,GONGOGI,PDT,12,JOSE LATRILHA NETO,694,Não eleito,18.345,(sem coligação),
Prefeito,BA,GONGOGI,PFL,25,ROQUE ROCHA MONTEIRO,"1,395",Eleito,36.875,(sem coligação),
Prefeito,BA,GONGOGI,PT,13,VALDIVIO MARTINS DE OLIVEIRA,85,Não eleito,2.247,(sem coligação),
Prefeito,BA,FIRMINO ALVES,PTB,14,JOAO MARTINS DA SILVA,595,Não eleito,22.078,(sem coligação),
Prefeito,BA,FIRMINO ALVES,PL,22,VAILSON DA SILVA CUNHA,"2,100",Eleito,77.922,(sem coligação),
Prefeito,BA,FLORESTA AZUL,PMDB,15,ALENICE DA SILVA CEO SANTOS,20,Não eleito,0.306,(sem coligação),
Prefeito,BA,FLORESTA AZUL,PSL,17,FIDELCINO DE ALMEIDA SAMPAIO,"2,892",Não eleito,44.213,(sem coligação),
Prefeito,BA,GAVIAO,PMN,33,HUMBERTO JOSE VIEIRA,"1,617",Eleito,50.913,(sem coligação),
Prefeito,BA,GAVIAO,PFL,25,LUIZ CARLOS DE MOURA CUNHA,"1,559",Não eleito,49.087,(sem coligação),
Prefeito,BA,GUANAMBI,PMDB,15,LUIZ AUGUSTO GORDIANO DE MORAES,"14,316",Não eleito,47.038,(sem coligação),
Prefeito,BA,GUANAMBI,PSDB,45,LUZIMAR ALVES BEZERRA,87,Não eleito,0.286,(sem coligação),
Prefeito,BA,GUANAMBI,PT,13,RUY FERNANDES DE AZEVEDO,"1,573",Não eleito,5.168,(sem coligação),
Prefeito,BA,GUANAMBI,PTB,14,SIZALTINA RODRIGUES DONATO,"14,459",Eleito,47.508,(sem coligação),
