Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação,
Prefeito,RJ,DUQUE DE CAXIAS,PMDB,15,WASHINGTON REIS DE OLIVEIRA,"220,798",Eleito,51.908,PMDB / PPS / PSC / PMN / PSL / PHS / PL / PTC / PSDC,
Prefeito,RJ,NITEROI,PT,13,GODOFREDO SATURNINO DA SILVA PINTO,"151,592",Eleito,65.094,PT / PTB / PCB / PPS / PHS / PSB / PV / PRP / PRONA / PC do B / PT do B,
Prefeito,RJ,NITEROI,PDT,12,JOÃO CARLOS DE ALMEIDA SAMPAIO,"81,290",Não eleito,34.906,(sem coligação),
Prefeito,RJ,NOVA IGUACU,PT,13,LUIZ LINDBERGH FARIAS FILHO,"217,521",Eleito,57.738,PT / PFL / PSB / PSDB / PC do B,
Prefeito,RJ,NOVA IGUACU,PMDB,15,MARIO PEREIRA MARQUES FILHO,"159,219",Não eleito,42.262,PP / PDT / PMDB / PSL / PTN / PSC / PL / PPS / PSDC / PRTB / PHS / PMN / PV / PRP / PRONA / PT do B,
Prefeito,RJ,SAO JOAO DE MERITI,PTB,14,SANDRO MATOS PEREIRA,"111,779",Não eleito,43.961,PTB / PPS / PFL / PAN / PSDC / PTC / PSB / PSDB,
Prefeito,RJ,SAO JOAO DE MERITI,PMDB,15,UZIAS SILVA FILHO,"142,491",Eleito,56.039,PMDB / PTN / PSC / PMN / PV / PRP / PRONA / PC do B / PT do B,
Prefeito,RN,NATAL,PSB,40,CARLOS EDUARDO NUNES ALVES,"192,513",Eleito,51.924,PP / PDT / PTB / PTN / PSC / PL / PPS / PSDC / PMN / PSB / PV / PRP / PC do B,
Prefeito,RN,NATAL,PSDB,45,LUIZ ALMIR FILGUEIRA MAGALHÃES,"178,249",Não eleito,48.076,PMDB / PSDB,
Prefeito,RO,PORTO VELHO,PSB,40,MAURO NAZIF RASUL,"76,557",Não eleito,45.694,PSB / PP / PDT / PRTB / PT do B,
Prefeito,RO,PORTO VELHO,PT,13,ROBERTO EDUARDO SOBRINHO,"90,985",Eleito,54.306,PC do B / PT / PCB,
Prefeito,RS,CAXIAS DO SUL,PMDB,15,JOSÉ IVO SARTORI,"119,521",Eleito,52.433,PMDB / PDT / PTB / PPS / PSC,
Prefeito,RS,CAXIAS DO SUL,PT,13,MARISA VIRGINIA FORMOLO DALLA VECCHIA,"108,427",Não eleito,47.567,PT / PMN,
Prefeito,RS,PELOTAS,PPS,23,BERNARDO OLAVO GOMES DE SOUZA,"100,088",Eleito,52.376,PPS / PP / PTB / PV,
Prefeito,RS,PELOTAS,PT,13,FERNANDO STEPHAN MARRONI,"91,007",Não eleito,47.624,PT / PL / PC do B,
Prefeito,RS,PORTO ALEGRE,PPS,23,JOSÉ ALBERTO FOGAÇA DE MEDEIROS,"431,820",Eleito,53.316,PPS / PTB,
