ano,turno,tipo_eleicao,sigla_uf,id_municipio,cargo,numero_candidato,sequencial_candidato,resultado,sigla_partido,id_municipio_tse,id_candidato_bd,votos
2016,1,eleicao ordinaria,CE,2305803,prefeito,65,60000003540,eleito,PC do B,14176,0.0,12785
2016,1,eleicao ordinaria,CE,2305902,prefeito,12,60000007045,eleito,PDT,14192,0.0,10815
2016,1,eleicao ordinaria,CE,2305902,prefeito,15,60000008517,nao eleito,PMDB,14192,0.0,10635
2016,1,eleicao ordinaria,CE,2306009,prefeito,13,60000005908,eleito,PT,14214,0.0,5526
2016,1,eleicao ordinaria,CE,2306009,prefeito,55,60000014812,nao eleito,PSD,14214,0.0,3431
2016,1,eleicao ordinaria,CE,2306108,prefeito,31,60000007004,nao eleito,PHS,14230,0.0,6070
2016,1,eleicao ordinaria,CE,2306108,prefeito,55,60000010166,eleito,PSD,14230,0.0,7731
2016,1,eleicao ordinaria,CE,2306207,prefeito,12,60000006814,nao eleito,PDT,14257,0.0,2906
2016,1,eleicao ordinaria,CE,2306207,prefeito,15,60000001359,eleito,PMDB,14257,0.0,3090
2016,1,eleicao ordinaria,CE,2306256,prefeito,12,60000012647,nao eleito,PDT,13480,0.0,3671
2016,1,eleicao ordinaria,CE,2306256,prefeito,15,60000008489,eleito,PMDB,13480,0.0,8585
2016,1,eleicao ordinaria,CE,2306256,prefeito,27,60000001634,nao eleito,PSDC,13480,0.0,1301
2016,1,eleicao ordinaria,CE,2306256,prefeito,51,60000013717,nao eleito,PEN,13480,0.0,3775
2016,1,eleicao ordinaria,CE,2306306,prefeito,11,60000009013,eleito,PP,14273,0.0,11730
2016,1,eleicao ordinaria,CE,2306306,prefeito,15,60000011994,nao eleito,PMDB,14273,0.0,9938
2016,1,eleicao ordinaria,CE,2306306,prefeito,40,60000011858,nao eleito,PSB,14273,0.0,5709
2016,1,eleicao ordinaria,CE,2306306,prefeito,43,60000005893,nao eleito,PV,14273,0.0,1585
2016,1,eleicao ordinaria,CE,2306405,prefeito,12,60000012528,nao eleito,PDT,14290,0.0,5714
2016,1,eleicao ordinaria,CE,2306405,prefeito,13,60000003285,nao eleito,PT,14290,0.0,27526
2016,1,eleicao ordinaria,CE,2306405,prefeito,19,60000003170,nao eleito,PTN,14290,0.0,642
2016,1,eleicao ordinaria,CE,2306405,prefeito,45,60000004669,eleito,PSDB,14290,0.0,33158
2016,1,eleicao ordinaria,CE,2306405,prefeito,55,60000006017,nao eleito,PSD,14290,0.0,4242
2016,1,eleicao ordinaria,CE,2306504,prefeito,12,60000006471,nao eleito,PDT,14311,0.0,5905
2016,1,eleicao ordinaria,CE,2306504,prefeito,15,60000003538,eleito,PMDB,14311,0.0,6240
2016,1,eleicao ordinaria,CE,2306504,prefeito,65,60000009633,nao eleito,PC do B,14311,0.0,644
2016,1,eleicao ordinaria,CE,2306553,prefeito,12,60000005663,eleito,PDT,15954,0.0,13456
2016,1,eleicao ordinaria,CE,2306553,prefeito,55,60000012799,nao eleito,PSD,15954,0.0,5023
2016,1,eleicao ordinaria,CE,2306553,prefeito,65,60000006392,nao eleito,PC do B,15954,0.0,6251
2016,1,eleicao ordinaria,CE,2306603,prefeito,12,60000010640,eleito,PDT,14338,0.0,7602
2016,1,eleicao ordinaria,CE,2306603,prefeito,15,60000005036,nao eleito,PMDB,14338,0.0,6510
2016,1,eleicao ordinaria,CE,2306702,prefeito,10,60000014584,nao eleito,PRB,14354,0.0,4509
2016,1,eleicao ordinaria,CE,2306702,prefeito,22,60000007654,eleito,PR,14354,0.0,7660
2016,1,eleicao ordinaria,CE,2306801,prefeito,28,60000005698,nao eleito,PRTB,14370,0.0,364
2016,1,eleicao ordinaria,CE,2306801,prefeito,31,60000004256,nao eleito,PHS,14370,0.0,121
