,ano,id_municipio,incumbant,term_limited_seat,special,overall_winner_complete_college,overall_winner_idade,overall_winner_feminino,overall_winner_agriculture_job,overall_winner_public_service_job,overall_winner_health_job,overall_winner_corporate_job,overall_winner_law_job,overall_winner_technical_job,overall_winner_professional_job,overall_winner_mining_job,overall_winner_partido_PT,overall_winner_partido_PMDB_MDB,overall_winner_partido_PSDB,overall_winner_partido_DEM,overall_winner_partido_PL,overall_winner_partido_other,runnerup_partido_PT,runnerup_partido_PMDB_MDB,runnerup_partido_PSDB,runnerup_partido_DEM,runnerup_partido_PL,runnerup_partido_other,winner_votes,winner_votes_proportion,runnerup_votes,runnerup_votes_proportion,totalvotes
36,2004,5106703,1.0,0,0.0,0.0,50,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,840.0,0.5687203791469194,637.0,1477.0,1477.0
37,2004,5106455,1.0,0,0.0,0.0,40,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,989.0,0.5337290879654614,439.0,1853.0,1853.0
38,2004,5106265,1.0,0,0.0,0.0,41,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1803.0,0.5096099491237988,1735.0,3538.0,3538.0
39,2004,5105606,1.0,0,0.0,0.0,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4995.0,0.6976256983240223,2165.0,7160.0,7160.0
40,2004,2307809,1.0,0,0.0,0.0,53,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6964.0,0.5289381740847637,6202.0,13166.0,13166.0
41,2004,5105259,0.0,0,0.0,0.0,42,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7841.0,0.608348203894794,5048.0,12889.0,12889.0
42,2004,5105176,0.0,0,0.0,0.0,37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1976.0,0.5507246376811594,1612.0,3588.0,3588.0
43,2004,3103009,1.0,0,0.0,0.0,33,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4043.0,0.6444054829454893,1979.0,6274.0,6274.0
44,2004,5104559,0.0,0,0.0,0.0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1652.0,0.5289785462696126,1471.0,3123.0,3123.0
45,2004,5104500,0.0,0,0.0,0.0,39,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1351.0,1.0,,1351.0,1351.0
