ano,id_municipio,runoff,winner_turno1,winner_turno2,totalvotes_turno1,totalvotes_turno2,margin_turno1,margin_turno2,incumbant,term_limited_seat
2016,4320578,0.0,210000011697,,1592.0,0.0,162.0,0.0,0.0,1.0
2016,4320602,0.0,210000025947,,3163.0,0.0,623.0,0.0,0.0,1.0
2016,4320651,0.0,210000019908,,1929.0,0.0,391.0,0.0,0.0,0.0
2016,4320677,0.0,210000016542,,6716.0,0.0,301.0,0.0,0.0,0.0
2016,4320701,0.0,210000015856,,9435.0,0.0,573.0,0.0,0.0,0.0
2016,4320800,0.0,210000032334,,18610.0,0.0,3699.0,0.0,0.0,0.0
2016,4320859,0.0,210000030128,,3320.0,0.0,70.0,0.0,0.0,0.0
2016,4320909,0.0,210000019847,,14139.0,0.0,523.0,0.0,0.0,1.0
2016,4321006,0.0,210000027733,,7162.0,0.0,656.0,0.0,0.0,1.0
2016,4321105,0.0,210000032248,,9973.0,0.0,300.0,0.0,0.0,0.0
2016,4321204,0.0,210000005661,,31139.0,0.0,13364.0,0.0,0.0,0.0
2016,4321303,0.0,210000028477,,17585.0,0.0,573.0,0.0,0.0,0.0
2016,4321329,0.0,210000010917,,2349.0,0.0,425.0,0.0,0.0,0.0
2016,4321352,0.0,210000027680,,3855.0,0.0,427.0,0.0,0.0,1.0
2016,4321402,0.0,210000013263,,8537.0,0.0,710.0,0.0,0.0,0.0
2016,4321436,0.0,210000015833,,6449.0,0.0,1569.0,0.0,0.0,1.0
2016,4321451,0.0,210000009935,,20706.0,0.0,694.0,0.0,0.0,1.0
2016,4321469,0.0,210000003056,,1666.0,0.0,1666.0,0.0,0.0,0.0
2016,4321477,0.0,210000021255,,2991.0,0.0,655.0,0.0,0.0,1.0
2016,4321493,0.0,210000018667,,2346.0,0.0,38.0,0.0,0.0,0.0
2016,4321501,0.0,210000029978,,19286.0,0.0,1306.0,0.0,0.0,0.0
2016,4321600,0.0,210000003773,,24321.0,0.0,3443.0,0.0,0.0,0.0
2016,4321626,0.0,210000024793,,1790.0,0.0,256.0,0.0,0.0,1.0
2016,4321634,0.0,210000009750,,2258.0,0.0,442.0,0.0,0.0,0.0
2016,4321667,0.0,210000006491,,7376.0,0.0,844.0,0.0,0.0,0.0
2016,4321709,0.0,210000014133,,14889.0,0.0,2054.0,0.0,0.0,1.0
2016,4321808,0.0,210000015350,,15620.0,0.0,1576.0,0.0,0.0,1.0
2016,4321832,0.0,210000010158,,2454.0,0.0,14.0,0.0,0.0,1.0
2016,4321857,0.0,210000003801,,3739.0,0.0,175.0,0.0,0.0,0.0
2016,4321907,0.0,210000017285,,15588.0,0.0,4298.0,0.0,0.0,1.0
2016,4321956,0.0,210000015443,,4168.0,0.0,46.0,0.0,0.0,0.0
2016,4322004,0.0,210000018051,,17971.0,0.0,162.0,0.0,0.0,0.0
2016,4322103,0.0,210000028739,,4145.0,0.0,417.0,0.0,0.0,1.0
