,0
301,1600600.0
302,1600709.0
303,1600808.0
304,1700251.0
305,1700350.0
306,1700400.0
307,1700707.0
308,1701002.0
309,1701051.0
310,1701101.0
311,1701309.0
312,1701903.0
313,1702000.0
314,1702109.0
315,1702158.0
316,1702208.0
317,1702307.0
318,1702406.0
319,1702554.0
320,1702703.0
321,1702901.0
322,1703008.0
323,1703057.0
324,1703073.0
325,1703107.0
326,1703206.0
327,1703305.0
328,1703602.0
329,1703701.0
330,1703800.0
331,1703826.0
332,1703842.0
333,1703867.0
334,1703883.0
335,1703891.0
336,1703909.0
337,1704105.0
338,1704600.0
339,1705102.0
340,1705508.0
341,1705607.0
342,1706001.0
343,1706100.0
344,1706258.0
345,1706506.0
346,1707009.0
347,1707108.0
348,1707207.0
349,1707306.0
350,1707405.0
351,1707553.0
352,1707652.0
353,1707702.0
354,1708205.0
355,1708254.0
356,1708304.0
357,1709005.0
358,1709302.0
359,1709500.0
360,1709807.0
361,1710508.0
362,1710706.0
363,1710904.0
364,1711100.0
365,1711506.0
366,1711803.0
367,1711902.0
368,1711951.0
369,1712009.0
370,1712157.0
371,1712405.0
372,1712454.0
373,1712504.0
374,1712702.0
375,1712801.0
376,1713205.0
377,1713304.0
378,1713601.0
379,1713700.0
380,1713809.0
381,1713957.0
382,1714203.0
383,1714302.0
384,1714880.0
385,1715002.0
386,1715101.0
387,1715259.0
388,1715507.0
389,1715705.0
390,1715754.0
391,1716109.0
392,1716208.0
393,1716307.0
394,1716505.0
395,1716604.0
396,1716653.0
397,1716703.0
398,1717008.0
399,1717206.0
400,1717503.0
401,1717800.0
402,1717909.0
403,1718006.0
404,1718204.0
405,1718402.0
406,1718451.0
407,1718501.0
408,1718550.0
409,1718659.0
410,1718709.0
411,1718758.0
412,1718808.0
413,1718840.0
414,1718865.0
415,1718881.0
416,1718899.0
417,1718907.0
418,1719004.0
419,1720002.0
420,1720101.0
421,1720150.0
422,1720200.0
423,1720259.0
424,1720309.0
425,1720499.0
426,1720655.0
427,1720804.0
428,1720853.0
429,1720903.0
430,1720937.0
431,1720978.0
432,1721000.0
433,1721109.0
434,1721208.0
435,1721257.0
436,1721307.0
437,1722081.0
438,1722107.0
439,2100055.0
440,2100204.0
441,2100402.0
442,2100436.0
443,2100477.0
444,2100501.0
445,2100550.0
446,2100600.0
447,2100709.0
448,2100873.0
449,2100956.0
450,2101004.0
451,2101103.0
452,2101202.0
453,2101251.0
454,2101301.0
455,2101350.0
456,2101400.0
457,2101608.0
458,2101772.0
459,2101806.0
460,2101905.0
461,2101970.0
462,2102002.0
463,2102036.0
464,2102077.0
465,2102150.0
466,2102325.0
467,2102358.0
468,2102408.0
469,2102507.0
470,2102556.0
471,2102606.0
472,2102705.0
473,2102754.0
474,2102804.0
475,2102903.0
476,2103109.0
477,2103125.0
478,2103158.0
479,2103174.0
480,2103257.0
481,2103505.0
482,2103554.0
483,2103604.0
484,2103703.0
485,2103802.0
486,2104008.0
487,2104057.0
488,2104073.0
489,2104081.0
490,2104099.0
491,2104107.0
492,2104206.0
493,2104305.0
494,2104404.0
495,2104503.0
496,2104552.0
497,2104628.0
498,2104651.0
499,2104677.0
500,2104701.0
501,2104800.0
502,2104909.0
503,2105153.0
504,2105203.0
505,2105302.0
506,2105351.0
507,2105401.0
508,2105427.0
509,2105450.0
510,2105476.0
511,2105500.0
512,2105609.0
513,2105658.0
514,2105708.0
515,2105807.0
516,2105906.0
517,2105948.0
518,2105963.0
519,2105989.0
520,2106003.0
521,2106102.0
522,2106201.0
523,2106326.0
524,2106359.0
525,2106375.0
526,2106508.0
527,2106631.0
528,2106706.0
529,2106755.0
530,2106805.0
531,2106904.0
532,2107001.0
533,2107258.0
534,2107308.0
535,2107357.0
536,2107407.0
537,2107506.0
538,2107605.0
539,2108009.0
540,2108108.0
541,2108207.0
542,2108256.0
543,2108306.0
544,2108405.0
545,2108454.0
546,2108504.0
547,2108603.0
548,2108702.0
549,2108801.0
550,2108900.0
551,2109007.0
552,2109056.0
553,2109106.0
554,2109205.0
555,2109239.0
556,2109270.0
557,2109502.0
558,2109551.0
559,2109601.0
560,2109700.0
561,2109759.0
562,2109809.0
563,2110005.0
564,2110039.0
565,2110203.0
566,2110302.0
567,2110500.0
568,2110658.0
569,2110708.0
570,2110807.0
571,2110856.0
572,2111003.0
573,2111029.0
574,2111052.0
575,2111201.0
576,2111250.0
577,2111300.0
578,2111409.0
579,2111508.0
580,2111532.0
581,2111573.0
582,2111607.0
583,2111672.0
584,2111706.0
